record_no,standardized_names,scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,native_status,native_status_reason,native_status_sources,is_introduced,native_status_country,native_status_state_province,native_status_county_parish,country,state_province,county,locality,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_cultivated_observation,is_cultivated_in_region,is_location_cultivated,is_new_world,observation_type
21,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"SÃ­tio SÃ£o Marcos, Morro Bocaina",-19.01,-57.39,19/06/1991,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
22,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do RabichÃ£o, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual.",-19.04888,-57.29132,18/05/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
23,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Terras,-19.2,-57.7,17/06/1996,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
24,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Terras,-19.416667,-57.666667,03/05/1990,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
25,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"SopÃ© da Serra Santa Cruz, Planalto Residual do Urucum. Escarpa de Floresta Estacional Decidual.",-19.283056,-57.574722,19/10/2004,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
26,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Planalto Residual do Urucum. Vale de Floresta estacional Decidual.,-19.10903,-57.379,27/10/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
27,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,NA,,-17.5,-61.5,16/05/1991,GBIF,F,F,F,Botany,3567,0,0,NA,1,specimen
28,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Assentamento Tamarineiro II Sul- Sr. Albino Lote 92,-19.108611,-57.7875,12/11/2008,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
29,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Nuflo de Chavez,"Area de estudio del proyecto \BOLFOR\"", Las Trancas-95. Bosque semideciduo, vegetaciÃ³n de fondo de valles hÃºmedos.""",-16.52027,-61.84638,19/06/1995,MO,"MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,specimen
30,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do Jacadigo, Planalto Residual do Urucum.",-19.1367,-57.50583,20/10/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
31,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do RabichÃ£o, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual.",-19.06893,-57.30362,16/03/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
32,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra Grande, Planalto Residual do Urucum. Interior de Floresta Estacional Decidual.",-19.12544,-57.30522,24/11/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
33,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Urucum MineraÃ§Ã£o. Vale de Floresta Estacional Decidual. Solo minÃ©rio de ferro.,-19.11251,-57.37416,17/12/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
