record_no,standardized_names,scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,native_status,native_status_reason,native_status_sources,is_introduced,native_status_country,native_status_state_province,native_status_county_parish,country,state_province,county,locality,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_cultivated_observation,is_cultivated_in_region,is_location_cultivated,is_new_world,observation_type
86,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Buenos Aires,Partido de San Nicolas,San NicolÃ¡s de Los Arroyos.,-33.47,-60.29,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
87,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Argentina,NA,NA,"Formosa, Pilcomayo, Vera del Rcho. Monte Lindo Chico.",-25.563333,-58.27,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,0,0,NA,1,specimen
88,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Ituzaingo,,-27.72,-56.73,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
89,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,San Martin,"Arrocera Drews, 10 km al NE de Col. C.Pellegrini",-28.76,-56.95,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
90,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Concepcion,"Paso Batel, 7 km S cruce de Ruta Prov. 13 a Saladas, ex Paso Crucecita",-28.36,-58.03,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
91,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Bahia,NA,Chico Periquito,-9.753056,-41.356944,27/09/2014,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),HTSA,2018,0,0,NA,1,specimen
92,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Fazenda Santana, Pousada das Amoras, Retiro SÃ£o LourenÃ§o, sede, cerca de 21Km sul da MS-419, sub-regiÃ£o de Aquidauana, Pantanal.",-19.628611,-55.606389,25/08/2005,GBIF,FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,0,0,NA,1,specimen
93,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Formosa,Pilcomayo,"Parque Nac. Pilcomayo, alred. de la Casa de los Guardaparques en Lag. Blanca.",-25.34,-58.03,NA,GBIF,BAB,BAB,BAB,HERB,3614,0,0,NA,1,specimen
94,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Argentina,NA,NA,Puerto Velaz - 5 Km N de Puerto Velaz - Ruta nÂ° 11/Provincia de Formosa,-26.65,-58.63333,26/01/1966,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
95,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Bahia,NA,1,-9.7725,-41.357222,27/09/2014,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,0,0,NA,1,specimen
96,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,Presidente Hayes,NA,,-24.026944,-58.563333,14/02/2004,GBIF,NHMUK,NHMUK,NHMUK,BOT,2075,0,0,NA,1,specimen
97,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",tropicos,0,N,NA,NA,Bolivia,NA,NA,"Depto. Santa Cruz, Prov. Andres Ibanez: NE side of Viru-Viru pampa, 1 Km W of Chuchio, 4.5 Km E of turnoff from highway from Santa Cruz to Warnes.",-17.6167,-63.1167,22/12/1997,GBIF,MEL,MEL,MEL,MEL,3283,0,0,NA,1,specimen
98,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Sede da Fazenda Bodoquena, (ex. Guaiacurus).",-20.103333,-56.796667,02/10/2003,GBIF,FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,0,0,NA,1,specimen
99,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Santa Catarina,NA,trevo de entrada para a cidade BR-101 e estrada secundÃ¡ria; 28Â°07'49 4''S 48Â°41'32 6''W,-28.130278,-48.692222,21/02/2006,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,0,0,NA,1,specimen
100,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Concepcion,"Paso Batel, 7 km S cruce de Ruta Prov. 13 a Saladas, ex Paso Crucecita",-28.36,-58.03,NA,GBIF,CTES,CTES,CTES,HERB,3391,0,0,NA,1,specimen
101,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Pantanal,-19.954444,-56.305278,04/04/1998,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
102,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,"Ruta Transchaco, km 130 - Km 120-130, Ruta Transchaco, 8Âª Salida / Km. 125, ruta Trans-Chaco/Departamento de Presidente Hayes",-24.45,-58.03333,21/02/1989,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
103,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Pantanal,-19.616667,-57.45,12/04/1992,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
104,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,Uruguaiana,NA,-29.731111,-57.084972,02/03/1988,SpeciesLink,PUCRS,PUCRS,PUCRS,MPUC,681,0,0,NA,1,specimen
105,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Sao Paulo,NA,,-22.88375,-48.485,20/03/2006,GBIF,"Universidade Estadual Paulista, UNESP","Universidade Estadual Paulista, UNESP","Universidade Estadual Paulista, UNESP",BOTU,2238,1,0,NA,1,specimen
106,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Paraguay,Neembucu,NA,,-26.575278,-58.040833,23/01/2005,GBIF,NHMUK,NHMUK,NHMUK,BOT,2075,0,0,NA,1,specimen
107,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Empedrado,"El Sombrerito, estaciÃ³n experimental INTA",-27.84,-58.68,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
108,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,NA,BR-116,-31.513889,-52.225278,26/02/2016,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,0,0,NA,1,specimen
109,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,San Cosme,Paso de la Patria,-27.33,-58.5,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
110,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,NA,,-29,-58,11/03/1975,GBIF,F,F,F,Botany,3567,0,0,NA,1,specimen
111,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",tropicos,0,N,NA,NA,Bolivia,Santa Cruz,NA,"The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the RÃ­o Grande to the east. AndrÃ©s IbÃ¡Ã±ez, 1.5 km. NW of center of Cotoca. Chaco shrub vegetation along the railroad. With Prosopis chilensis, Tabebuia nodosa, Phyllostylon rhamnoides, Acacia albocorticata.; Aeschynomene denticulata Rudd",-17.75,-63,01/01/1994,MO,"MO, NY","MO, NY","MO, NY",NA,280,0,0,NA,1,specimen
112,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Formosa,Pilcomayo,"Parque Nac. Pilcomayo, alred. de la Casa de los Guardaparques en Lag. Blanca.",-25.34,-58.03,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
113,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Mburucuya,Estancia Santa Teresa,-27.99,-58.18,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
114,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Formosa,Pilcomayo,"Parque Nac. Pilcomayo, alred. de la Casa de los Guardaparques en Lag. Blanca.",-25.34,-58.03,NA,GBIF,G,G,G,HERB,3547,0,0,NA,1,specimen
115,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Salta,Oran,Abra Grande,-23.37,-64.22,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
116,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Argentina,NA,NA,,-35.3869,-64.9208,17/11/1927,GBIF,F,F,F,Botany,3567,0,0,NA,1,specimen
117,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Salta,Rivadavia,"Ruta 81, Km 1721",-23.45,-62.79,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
118,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,San Roque,"San Roque, orillas de la ciudad",-28.73,-58.68,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
119,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,NA,Propriedade de Carlito Black.,-29.399683,-51.957633,23/02/2015,GBIF,FUVATES,FUVATES,FUVATES,HVAT,2936,0,0,NA,1,specimen
120,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,NA,"Cerca de 37 km a sudoeste da ponte do rio Santa Maria, na estarada para o Ponche Verde.",-31.216666,-54.866666,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,0,0,NA,1,specimen
121,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Entre Rios,Concordia,Salto Grande,-31.35,-58.18,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
122,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Entre Rios,Federacion,Barra del rÃ­o MocoretÃ¡,-30.71,-58.16,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
123,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,NA,NA,Brazil,Rio Grande do Norte,NA,"ESEC, estrada da lagoa",-6.59825,-37.250611,20/05/2005,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,0,0,NA,1,specimen
124,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,"Fuerte Olimpo - Alto-Paraguay, Chaco, 21Â° lat./Departamento de Alto Paraguay",-21.05,-57.88333,NA,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
125,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,"Ruta Transchaco, km 80 - Km. 75 s/ ruta Trans-Chaco. En el estero/Departamento de Presidente Hayes",-24.78333,-57.8,13/01/1989,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
126,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,NA,.,-29.755,-57.088056,02/03/1988,GBIF,PUCRS,PUCRS,PUCRS,MPUC,1839,0,0,NA,1,specimen
127,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Misiones,San Ignacio,Ruinas de San Ignacio,-27.16,-55.34,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
128,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,UNK,"Status unknown, no checklists for region of observation",NA,NA,NA,NA,NA,Australia,Queensland,NA,"Glasshouse grown, James Cook University, Townsville.",-19.3272,146.7608,NA,GBIF,JCT,JCT,JCT,JCT,3258,0,0,NA,0,specimen
129,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Ao lado da sede da Base de Estudos do Pantanal (BEP - UFMS), Passo do Lontra.",-19.577111,-57.019139,10/03/2012,GBIF,FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,0,0,NA,1,specimen
130,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",tropicos,0,N,NA,NA,Bolivia,Santa Cruz,Andres Ibanez,"13 km (by air) NE of Cotoca, 2-3 km N of Quebrada Cotoca on road to \El Pauro\"". Brushy roadside on flat, fine-sandy or clay soil, originally subtropical semi-deciduous forest with Acrocomia totai, now mostly cleared for crops.; Aeschynomene denticulata Rudd""",-17.6833333,-62.9166667,18/12/1992,MO,"MO, NY, USZ","MO, NY, USZ","MO, NY, USZ",NA,280,0,0,NA,1,specimen
131,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,Presidente Hayes,NA,"ChacoÃ­, campo inundable del Rio Negro Suberecta; flores violÃ¡ceas, algunos tallos rojizos",-25.2,-57.63,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
132,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,NA,Morro GaÃºcho,-29.337244,-51.932844,13/03/2011,GBIF,FUVATES,FUVATES,FUVATES,HVAT,2936,0,0,NA,1,specimen
133,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,NA,sobre Ruta 25,-29.8,-59.25,02/03/1980,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,0,0,NA,1,specimen
134,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Sao Paulo,NA,Fragmento 32 (TAV). Contato Floresta Estacional Semidecidual / Floresta OmbrÃ³fila Densa.,-22.8629,-45.3505,19/04/2013,GBIF,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","Escola Superior de Agricultura Luiz de Queiroz, ESALQ",ESA,2472,0,0,NA,1,specimen
135,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Mburucuya,"Estancia \Santa Teresa\""""",-27.99,-58.18,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
136,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",tropicos,0,N,NA,NA,Bolivia,Santa Cruz,Andres Ibanez,"Ca. 5 km SSW of Cotoca, vic. clay pits and brick works, near \Santa Rosa de Provote\"". Disturbed semi-deciduous suptropical or chaco forest, partially cleared for pastures, with Aspidosperma cylindrocarpum, Reichenbachia hirsuta. Fine sandy and clay soil, flat.; Aeschynomene""",-17.7833333,-63,10/03/1998,MO,"MO, NY, USZ","MO, NY, USZ","MO, NY, USZ",NA,280,0,0,NA,1,specimen
137,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Cordoba,San Justo,"Villa ConcepciÃ³n del TÃ­o, sobre la ruta a Miramar.",-31.23,-62.56,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
138,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,San Luis del Palmar,20 km E de S.Luis del Palmar,-27.56,-58.29,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
139,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",tropicos,0,N,NA,NA,Bolivia,NA,NA,"Depto Santa Cruz, Prov. Andres Ibanez: Ca. 5 km SSW of Cotoca, vic. clay pits and brick works, near 'Santa Rosa de Provote.'",-17.7833,-63,10/03/1998,GBIF,MEL,MEL,MEL,MEL,3283,0,0,NA,1,specimen
140,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Paso de los Libres,,-29.55,-57.31,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
141,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Capital,Riachuelo,-27.5,-58.77,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
142,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Capital,Riachuelo,-27.5,-58.77,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
